Period,(a) Total Number of Shares (or Units) Purchased,(b) Average Price Paid per Share (or Unit),(c) Total Number of Shares (or Units) Purchased as Part of Publicly Announced Plans or Programs,(d) Maximum Number (or Approximate Dollar Value) of Shares (or Units) that May Yet Be Purchased Under the Plans or Programs
"January 1, 2015 — January 31, 2015",64507(1),44.73,—,3511537561(2)
"February 1, 2015 — February 28, 2015",17166191(1),46.062,17100000,2723837671(2)
"March 1, 2015 — March 31, 2015",9840102(1),46.997,9836795,2261537480(2)
Total,27070800(1),46.399,26936795,2261537480(2)
