Period,(a) Total Number of Shares (or Units) Purchased,(b) Average Price Paid per Share (or Unit),(c) Total Number of Shares (or Units) Purchased as Part of Publicly Announced Plans or Programs,(d) Maximum Number (or Approximate Dollar Value) of Shares (or Units) that May Yet Be Purchased Under the Plans or Programs
"January 1, 2014 — January 31, 2014",6629302(1),36.462,6500000,2374933131(2)
"February 1, 2014 — February 28, 2014",25746238(1),38.211,25700000,1392882137(2)
"March 1, 2014 — March 31, 2014",22407140(1),39.415,22360000,511537561(2)
Total,54782680(1),38.492,54560000,511537561(2)
