Category,March 31, 2012: Outstanding Balances,March 31, 2012: Quoted Prices in Active Markets,March 31, 2012: Significant Other Observable Inputs,March 31, 2012: Significant Unobservable Inputs,December 31, 2011: Outstanding Balances,December 31, 2011: Quoted Prices in Active Markets,December 31, 2011: Significant Other Observable Inputs,December 31, 2011: Significant Unobservable Inputs
Equity securities,89,89,,"",93,93,,
Interest rate swap derivative financial instruments,588,,"588","",598,,"598",
Foreign currency forward exchange contracts,109,,"109","",280,,"280",
Total Assets,786,89,"697","",971,93,"878",
,Fair value of hedged long-term debt,7324,7324,"","",7427,7427,""
Foreign currency forward exchange contracts,63,,"","",181,,"181",
Contingent consideration related to business combinations,294,,"","294",423,,"","423"
Total Liabilities,7681,7387,"","294",8031,7608,"","423"
