Period,(a) Total Number of Shares (or Units) Purchased,(b) Average Price Paid per Share (or Unit),(c) Total Number of Shares (or Units) Purchased as Part of Publicly Announced Plans or Programs,(d) Maximum Number (or Approximate Dollar Value) of Shares (or Units) that May Yet Be Purchased Under the Plans or Programs
"January 1, 2013 – January 31, 2013",7164845(1),33.296,6800000,925863155(2)
"February 1, 2013 – February 28, 2013",18319714(1),34.275,18194043,302271964(2)
"March 1, 2013 – March 31, 2013",222950(1),34.634,0,302271964(2)
Total,25707509(1),34.005,24994043,302271964(2)
