Period,(a) Total Number of Shares (or Units) Purchased,(b) Average Price Paid per Share (or Unit),(c) Total Number of Shares (or Units) Purchased as Part of Publicly Announced Plans or Programs,(d) Maximum Number (or Approximate Dollar Value) of Shares (or Units) that May Yet Be Purchased Under the Plans or Programs
"July 1, 2013 — July 31, 2013",7040944(1),36.676,7000000,2743250000(2)
"August 1, 2013 — August 31, 2013",2608974(1),36.799,2530591,2650000001(2)
"September 1, 2013 — September 30, 2013",44039(1),34.829,0,2650000001(2)
Total,9693957(1),36.701,9530591,2650000001(2)
