Period,(a) Total Number of Shares (or Units) Purchased,(b) Average Price Paid per Share (or Unit),(c) Total Number of Shares (or Units) Purchased as Part of Publicly Announced Plans or Programs,(d) Maximum Number (or Approximate Dollar Value) of Shares (or Units) that May Yet Be Purchased Under the Plans or Programs
"July 1, 2012 — July 31, 2012",830476(1),65.647,0,1792179707(2)
"August 1, 2012 — August 31, 2012",184098(1),66.01,0,1792179707(2)
"September 1, 2012 — September 30, 2012",578205(1),68.504,0,1792179707(2)
Total,1592779(1),66.726,0,1792179707(2)
