Period,(a) Total Number of Shares (or Units) Purchased,(b) Average Price Paid per Share (or Unit),(c) Total Number of Shares (or Units) Purchased as Part of Publicly Announced Plans or Programs,(d) Maximum Number (or Approximate Dollar Value) of Shares (or Units) that May Yet Be Purchased Under the Plans or Programs
"April 1, 2012 – April 30, 2012",3160290(1),61.278,3075000,2335387977(2)
"May 1, 2012 – May 31, 2012",8861366(1),62.208,8732568,1792179707(2)
"June 1, 2012 – June 30, 2012",114561(1),62.028,0,1792179707(2)
Total,12136217(1),61.965,11807568,1792179707(2)
