,Period(a) Total Number of Shares (or Units) Purchased,(b) Average Price Paid per Share (or Unit),(c) Total Number of Shares (or Units) Purchased as Part of Publicly Announced Plans or Programs,(d) Maximum Number (or Approximate Dollar Value) of Shares (or Units) that May Yet Be Purchased Under the Plans or Programs
"July 1, 2011 – July 31, 2011",24000(1),52.842,0,3392180505(2)
"August 1, 2011 – August 31, 2011",64833(1),50.948,0,3392180505(2)
"September 1, 2011 – September 30, 2011",66016(1),51.566,0,3392180505(2)
Total,154849(1),51.505,0,3392180505(2)
