,Gain (loss) Recognized in Other Comprehensive Income (loss),Gain (loss) Recognized in Other Comprehensive Income (loss),Income (expense) and Gain (loss) Reclassified into Income,Income (expense) and Gain (loss) Reclassified into Income,
(in millions),2015,2014,2015,2014,Income Statement Caption
Foreign currency forward exchange contracts designated as cash flow hedges,43,2,17,3,Cost of products sold
Debt designated as a hedge of net investment in a foreign subsidiary,3,(11),—,—,
Interest rate swaps designated as fair value hedges,,,49,11,Interest expense
Foreign currency forward exchange contracts not designated as a hedge,,,(16),(13),Net foreign exchange (gain) loss
