,,Basis Swap Purchased,Basis Swap Purchased,Basis Swap Sold,Basis Swap Sold
Production Period,Settlement Index,MMBtu (in 000¨s),Weighted Average Price Differential,MMBtu(in 000's),Weighted Average Price Differential
July！December 2021,NYMEX Henry Hub/IF Waha,23930,(0.42 ),！,！
July！December 2021,NYMEX Henry Hub/IF HSC,！,！,23930,(0.07 )
January！December 2022,NYMEX Henry Hub/IF Waha,43800,(0.45 ),！,！
January！December 2022,NYMEX Henry Hub/IF HSC,！,！,43800,(0.08 )
January！December 2023,NYMEX Henry Hub/IF Waha,29200,(0.40 ),！,！
January！December 2023,NYMEX Henry Hub/IF HSC,！,！,29200," 0.02"
